,MAX MINT FOR PARTNERSHIP ORB IS 3,UWU ORB,KGF ORB,LAMP ORB,KAIJU ORB,CAPS ORB,ASUNA ORB,MURI ORB,HAUS ORB,*SORTED BY GOOGLE SHEETS COLUMN RANGE OF ORBS
1,0x1b08ab52033265a78794778eb7c1c4f7f44ce145,0,0,0,0,0,0,0,1,
1,0xa29aa97beacaf4cca0f13a1beeb746ac7558ebd3,0,0,0,0,0,0,0,1,
1,0x262acfd42734e7d8751ce13c479d716e6f9975be,0,0,0,0,0,0,0,1,
1,0xff87a8c90595171d06c92d6926dbbf43777cf7a3,0,0,0,0,0,0,0,1,
1,0x8794551882071c2dabf931a8ddfb1f0f117b001e,0,0,0,0,0,0,0,1,
1,0xdb6bbbf7551e4f82c2adb895a1056cb36c145704,0,0,0,0,0,0,0,1,
1,0xbc940fffa9d928cb1b34eb893aef9c11a5f80300,0,0,0,0,0,0,0,1,
1,0xcf6876ea88e2c1250806f24447de64083105e24d,0,0,0,0,0,0,0,1,
1,0x9acc14c8afbe35dd142162bf6274d3b537d059f8,0,0,0,0,0,0,0,1,
1,0x08523d85579fd8e5625e00085811681936692adc,0,0,0,0,0,0,0,1,
1,0xbb48a109ab6f15c1c31609c14bcf0633ee58e6ed,0,0,0,0,0,0,0,1,
1,0xdd2bc15318d884094e9b3b29733bff42c964b577,0,0,0,0,0,0,0,1,
1,0x20b429182c1fedcc03e3b349d1e5d0b95617bee9,0,0,0,0,0,0,0,1,
1,0xd63aC497E1bF11390a0327996C916fd531A5F64a,0,0,0,0,0,0,0,1,
1,0x1244e1b21bae2e9eedf1b93e910145ef53efb46e,0,0,0,0,0,0,0,1,
1,0xc2b66053c5871c4512c7733bac07520acc694e8f,0,0,0,0,0,0,0,1,
1,0x50deefc1fd366d42846b1c0a23965abc01261b38,0,0,0,0,0,0,0,1,
1,0x4fceb024bc80041c9d330dc0acb418a992b2ff13,0,0,0,0,0,0,0,1,
1,0xa9a0731841de46f0e0d20f27e92212259311f842,0,0,0,0,0,0,0,1,
1,0x15fc4508aaa6bb41cfab85ef218ddc156f877d92,0,0,0,0,0,0,0,1,
1,0x5e70e04f1a5c5af5a42a5931496c22023c1cc9bf,0,0,0,0,0,0,0,1,
1,0x16d609ed0327998228d31f9683adfb31853ced03,0,0,0,0,0,0,0,1,
1,0x28eda756d85617c21a07905dc09aa0514e218b79,0,0,0,0,0,0,0,1,
1,0x25d85fdeb272487c5947d6b9f932a4317fb74e79,0,0,0,0,0,0,0,1,
1,0xa22f8994a73f32e847a5fcbeb8b2256a2b1f410a,0,0,0,0,0,0,0,1,
1,0x920ac8d9138b9fdf968f82ddbfd608a8016d2ed1,0,0,0,0,0,0,0,1,
1,0x37c10d37e7bea4547ee1c7a7cf22088ab9aba489,0,0,0,0,0,0,0,1,
1,0x9695c9ce6421d0c3e2af3e944f7ed957653085f9,0,0,0,0,0,0,0,1,
1,0x0a9c52dcce024dd72aafeb43c1c253b93ab6ee2c,0,0,0,0,0,0,0,1,
1,0xab7f6848a351c52e413cdd37c1c2c5d857294b21,0,0,0,0,0,0,0,1,
1,0x74a4ee5715bc2c6bb088c16ec3b8bad6280527d7,0,0,0,0,0,0,0,1,
1,0xfa2ec14118ac5887a3b922edfe345636253370d9,0,0,0,0,0,0,0,1,
1,0xfddae420f4189cb87d0f845e27a49c271edaaa4d,0,0,0,0,0,0,0,1,
1,0x6904374addaf956a7d5a4b45b91e60f266d52b81,0,0,0,0,0,0,0,1,
1,0xd26593e8a99999d418bc58d7c77ca10611731162,0,0,0,0,0,0,0,1,
1,0xb455e830d7b7450e899e06707a2002fcdd0c070a,0,0,0,0,0,0,0,1,
1,0x482a94ab19c1ff3272d0d6d80d8c442f5f8dfd4d,0,0,0,0,0,0,0,1,
1,0x09261c4afa04fc9e3fa39cbd8137a5423d40b6f2,0,0,0,0,0,0,0,1,
1,0xbeea6e8120ebab51e5b58e66c565bc921e30e50b,0,0,0,0,0,0,0,1,
1,0x6c8b2d8fd6f8b43e7001e858904f8683bd17bae0,0,0,0,0,0,0,0,1,
1,0xb772aa010f7f64d00b41e6a11f0a5a9e268d8777,0,0,0,0,0,0,0,1,
1,0xeb9f2042d1163bceccb54bd1d8e4249ec0f2e5d3,0,0,0,0,0,0,0,1,
1,0x755ff51d0a95e7f1bd7448506d7e691312f858be,0,0,0,0,0,0,0,1,
1,0x267b1109e514a38a66f24bacad55e36edd738a58,0,0,0,0,0,0,0,1,
1,0x7e178866fa315284b29a7da05569c792123589d1,0,0,0,0,0,0,0,1,
1,0xbb61e0459c72af6f884fb766ca5727cc62bb1616,0,0,0,0,0,0,0,1,
1,0x6c453dd5de60baa225f4e6ff6767b2f9563b9118,0,0,0,0,0,0,0,1,
1,0xcda0dbd7270e811f7308dbf4a74b0c9e4b7a4101,0,0,0,0,0,0,0,1,
1,0xe584891cd2689afa6bc9f232597739074a4b5c0b,0,0,0,0,0,0,0,1,
1,0xdcd27a986522f65a712a33393967072f686ca3fb,0,0,0,0,0,0,0,1,
1,0x59dd714cbf7a06d868a00198b9ef3350497d4591,0,0,0,0,0,0,0,1,
1,0x0b59e3e73dbe453e973a876d34397c0cb759daef,0,0,0,0,0,0,0,1,
1,0x580b8c633c2832a2a7b1cbe147994be0873c47a8,0,0,0,0,0,0,0,1,
1,0xea5929c2d42205e5e15ccf337a92448871d0f392,0,0,0,0,0,0,0,1,
1,0xc852271011dae82ab1a14752754e560a317e8361,0,0,0,0,0,0,0,1,
